coiid,ecoclassidPES,mukey
667422,R018XA999CA,461528
667424,R018XA999CA,461527
667426,R018XA999CA,461526
667428,R018XA999CA,461525
667431,F018XA201CA,461524
667433,R018XA999CA,461523
667436,R018XA999CA,461522
667439,R018XA999CA,461521
1087332,R018XA999CA,461486
1087378,R018XA999CA,461485
1087369,R018XA999CA,461484
1087371,R018XA103CA,461482
1087376,R018XA102CA,461481
1153769,R018XA999CA,461534
1153771,R018XA999CA,461533
643141,R018XC999CA,465261
1087374,R018XA999CA,727349
1153772,R018XA999CA,727348
1172713,F018XA201CA,824118
643163,R018XC999CA,465270
1352306,F018XI205CA,749431
651150,R018XA999CA,461233
1153775,R018XA999CA,461232
1153777,R018XA999CA,461231
651195,R018XA999CA,461253
651194,R018XA999CA,461252
651192,R018XA999CA,461251
651190,R018XA999CA,461250
651187,R018XA999CA,461249
1094870,R018XA999CA,727351
1094874,R018XA999CA,727350
1109359,R018XA999CA,749433
1297567,R018XI163CA,1403441
1467871,F018XI200CA,1605508
650095,R018XA999CA,461292
650094,R018XA999CA,461291
1413310,R018XI999CA,1540892
1319773,R018XA999CA,815440
1155790,R018XY999CA,461505
1979655,R018XI111CA,2600463
2528900,F018XI201CA,2924833
2528905,R018XI111CA,2924834
1778537,R018XI101CA,1865918
2074000,F018XI207CA,2450845
2045866,R018XI107CA,2374651
2045838,R018XI107CA,2600527
2045839,F018XI207CA,2600528
2045843,F018XI207CA,2600538
2073965,R018XI107CA,2766838
2331927,F018XI207CA,2600529
2331928,R018XI163CA,2766834
2405998,F018XI208CA,2600464
2406004,F018XI208CA,
2073956,R018XI107CA,2766836
2073956,R018XI107CA,2766837
2516847,F022AI201CA,2924756
2516852,F022AI201CA,2924755
1842266,F018XI205CA,2399766
1840442,F018XI205CA,2441253
642787,R018XC999CA,2370764
2528832,F018XI200CA,2924738
1789128,F018XI205CA,2399769
1789130,F018XI205CA,2399770
642788,R018XC999CA,2370765
1792385,F018XI205CA,2399771
2482839,R018XI106CA,2924701
638634,F018XC201CA,2370749
641559,R018XC105CA,464514
2516870,F022AI202CA,2403747
2516862,F022AI201CA,2399775
2485311,F018XI201CA,2600530
2548334,F018XI201CA,2600531
2405985,R018XI111CA,2450844
1842387,F018XI200CA,2441798
1839563,F018XI201CA,2440240
1839564,F018XI201CA,2440242
1844294,F018XI201CA,1865926
1844296,F018XI202CA,2450843
1817363,R018XI125CA,2426483
1813218,R018XI102CA,1865927
2170330,R018XI102CA,1865928
2170334,R018XI104CA,1906347
2101129,R018XI103CA,2600534
2074013,R018XI103CA,2766830
2250138,F018XI202CA,1913600
2500533,F018XI202CA,2600456
2065345,F018XI202CA,2600457
2065346,F018XI202CA,2600458
2045856,F018XI201CA,2426355
2045859,F018XI200CA,1865929
2045860,F018XI200CA,1865930
1730382,F018XI200CA,1865931
1794815,F018XI202CA,2406016
1794820,F018XI202CA,2399783
2029007,F022AI201CA,2383083
1843572,F022AI201CA,2383084
2029009,F022AI201CA,1913601
1813278,R018XI105CA,2424962
1813281,F018XI202CA,2424963
1730388,R018XI106CA,1913605
1730390,R018XI125CA,1913606
1853908,F022AI201CA,2455490
1792344,F018XI206CA,2403711
2528827,F022AI201CA,2403710
1813313,F018XI206CA,2424959
1813318,F018XI206CA,2424960
2500538,R018XI125CA,2424961
2045872,F018XI200CA,2403720
638252,F018XC201CA,1487066
642740,,2370759
638266,F018XC201CA,2370730
642741,R018XC999CA,2370760
638274,F018XC201CA,1487067
638274,F018XC201CA,2370731
638282,F018XC201CA,2370732
642745,R018XC999CA,2370761
638297,F018XC201CA,2370733
638297,F018XC201CA,464552
638304,F018XC201CA,2370734
642748,R018XC999CA,2370762
638310,F018XC201CA,2370735
628393,F018XI201CA,767852
638336,R018XC999CA,2370736
